mmsi,observed_at_utc,latitude,longitude,sog_knots,cog_degrees,heading_degrees,anchorage_object_id,anchorage_name,record_hash
369042000,2024-12-27 13:43:55+01:00,33.65312,-118.12663,8.7,40.5,40.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),f4a8637ecba36fe1dcf4c129adf3f0e434d030f6349dafe26427bba9fcb282f7
369042000,2024-12-27 13:45:03+01:00,33.65527,-118.1245,8.8,40.8,40.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),7db92172a25d1f5a4ea9081fcea23db2f03b2cbf0cb0921237659a5d22aeab8b
369042000,2024-12-27 13:46:04+01:00,33.65717,-118.12259,8.9,39.9,40.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),368f523f8f4734bd09bafe2f566f3c4bf7d84fe3d395149b8228be5c48310ba3
369042000,2024-12-27 13:47:05+01:00,33.65906,-118.12067,8.9,39.7,40.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),2d07b64d3cde7f22afce9db892d911a81f15767196157b68865387143acd03b3
369042000,2024-12-27 13:48:14+01:00,33.66127,-118.11844,8.9,40.0,39.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),5eed4624c7f8af8c6a5baf22c2c27a3e9d76b764bccef59e5719cb248c72045e
369042000,2024-12-27 13:49:15+01:00,33.66317,-118.11654,9.0,39.5,41.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),59e96a867db0f5f27729ca9d4c695ebd38b6a66dd94c3b87f470994f04a6289d
369042000,2024-12-27 13:50:25+01:00,33.66539,-118.11426,8.9,38.2,39.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),661fba60bc356b7f4b8f78a1c6b398d382adaf397212c793b44344aafc61d6ab
369042000,2024-12-27 13:51:33+01:00,33.66757,-118.11211,8.9,39.8,40.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),05a43a73c3140b2d47bc374e5447c39356d0a83f0a37cd224f54ea4afeb7414f
369042000,2024-12-27 13:52:34+01:00,33.66944,-118.1102,8.8,40.9,31.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),e18f35cf35f1b2d4c9feb39c2f2d6e59b3c9709220529687545c7526a6480824
369042000,2024-12-27 13:53:37+01:00,33.67156,-118.10863,8.2,23.0,5.0,297,Commercial Anchorage F (outside of Long Beach Breakwater),17dd73a37286c83d1126e747157d8b302e2403c5d5d056ce7ad59c54312b3f01
